Date,Mkt-RF,SMB,HML,RF,WML
2015-02-01,0.0613,0.0060999999999999995,-0.0179,0.0,-0.031
2015-03-01,-0.0111,0.0305,-0.0038,0.0,0.027000000000000003
2015-04-01,0.0059,-0.029900000000000003,0.018000000000000002,0.0,-0.0727
2015-05-01,0.0137,0.0095,-0.0111,0.0,0.056799999999999996
2015-06-01,-0.0152,0.0294,-0.008199999999999999,0.0,0.0301
2015-07-01,0.015700000000000002,-0.0417,-0.0416,0.0,0.09970000000000001
2015-08-01,-0.0602,0.0037,0.0275,0.0,-0.0216
2015-09-01,-0.030600000000000002,-0.0263,0.0055000000000000005,0.0,0.0524
2015-10-01,0.0775,-0.019,-0.004699999999999999,0.0,-0.0319
2015-11-01,0.005699999999999999,0.0358,-0.0043,0.0,0.0229
2015-12-01,-0.0215,-0.027999999999999997,-0.025699999999999997,0.0001,0.0334
2016-01-01,-0.0574,-0.034,0.0208,0.0001,0.016
2016-02-01,-0.0006,0.0073,-0.0060999999999999995,0.0002,-0.0435
2016-03-01,0.0695,0.0075,0.012199999999999999,0.0002,-0.0504
2016-04-01,0.0092,0.0077,0.0322,0.0001,-0.059800000000000006
2016-05-01,0.0178,-0.0018,-0.016200000000000003,0.0001,0.0147
2016-06-01,-0.0003,0.006,-0.0149,0.0002,0.042
2016-07-01,0.0394,0.0245,-0.0124,0.0002,-0.0331
2016-08-01,0.0049,0.011699999999999999,0.0317,0.0002,-0.0341
2016-09-01,0.0027,0.0208,-0.011899999999999999,0.0002,0.0026
2016-10-01,-0.020099999999999996,-0.043899999999999995,0.041100000000000005,0.0002,0.0051
2016-11-01,0.048600000000000004,0.055999999999999994,0.08289999999999999,0.0001,-0.04769999999999999
2016-12-01,0.0181,0.0014000000000000002,0.0347,0.0003,-0.0027
2017-01-01,0.0194,-0.0116,-0.0276,0.0004,-0.009300000000000001
2017-02-01,0.0355,-0.0215,-0.015,0.0004,-0.0151
2017-03-01,0.0017000000000000001,0.0113,-0.0333,0.0003,-0.0097
2017-04-01,0.0108,0.0066,-0.020499999999999997,0.0005,0.0048
2017-05-01,0.010700000000000001,-0.0252,-0.0382,0.0006,0.015
2017-06-01,0.0079,0.022099999999999998,0.015,0.0006,-0.001
2017-07-01,0.018799999999999997,-0.014499999999999999,-0.0023,0.0007000000000000001,0.0163
2017-08-01,0.0018,-0.0167,-0.0213,0.0009,0.0331
2017-09-01,0.024900000000000002,0.044500000000000005,0.0315,0.0009,-0.013500000000000002
2017-10-01,0.0226,-0.019299999999999998,0.0013,0.0009,0.0421
2017-11-01,0.031200000000000002,-0.006,-0.0009,0.0008,-0.009399999999999999
2017-12-01,0.0106,-0.0132,0.0005,0.0009,-0.0155
2018-01-01,0.0558,-0.0316,-0.0132,0.0011,0.0408
2018-02-01,-0.0364,0.0027,-0.011000000000000001,0.0011,0.0368
2018-03-01,-0.0235,0.0405,-0.0021,0.0012,-0.012
2018-04-01,0.0027,0.0109,0.0053,0.0014000000000000002,0.0045000000000000005
2018-05-01,0.026600000000000002,0.0524,-0.031400000000000004,0.0014000000000000002,0.0391
2018-06-01,0.0049,0.0111,-0.0233,0.0014000000000000002,-0.0226
2018-07-01,0.032,-0.0223,0.0049,0.0016,-0.0143
2018-08-01,0.0345,0.011399999999999999,-0.0391,0.0016,0.053
2018-09-01,0.0006,-0.0229,-0.016200000000000003,0.0015,-0.0008
2018-10-01,-0.0765,-0.047,0.0338,0.0019,-0.0206
2018-11-01,0.0171,-0.0073,0.0036,0.0018,-0.013999999999999999
2018-12-01,-0.0955,-0.0231,-0.0192,0.0019,0.0176
2019-01-01,0.0837,0.0276,-0.0039000000000000003,0.0021,-0.0862
2019-02-01,0.0342,0.020499999999999997,-0.026600000000000002,0.0018,0.005
2019-03-01,0.011000000000000001,-0.030299999999999997,-0.0414,0.0019,0.022400000000000003
2019-04-01,0.0397,-0.0174,0.0213,0.0021,-0.0291
2019-05-01,-0.0692,-0.0126,-0.0245,0.0021,0.0755
2019-06-01,0.0699,0.0011,-0.0064,0.0018,-0.022400000000000003
2019-07-01,0.0123,-0.0196,0.005,0.0019,0.0292
2019-08-01,-0.0255,-0.0239,-0.04769999999999999,0.0016,0.0751
2019-09-01,0.0141,-0.0097,0.0676,0.0018,-0.0674
2019-10-01,0.0207,0.0027,-0.0192,0.0015,0.0013
2019-11-01,0.0387,0.0072,-0.02,0.0012,-0.0263
2019-12-01,0.0277,0.0076,0.0173,0.0014000000000000002,-0.0222
2020-01-01,-0.0011,-0.031,-0.0622,0.0013,0.0602
2020-02-01,-0.0815,0.0108,-0.0382,0.0012,-0.0028000000000000004
2020-03-01,-0.13369999999999999,-0.046900000000000004,-0.1383,0.0012,0.0821
2020-04-01,0.136,0.025,-0.0134,0.0,-0.0548
2020-05-01,0.0557,0.024,-0.05,0.0001,0.0016
2020-06-01,0.0245,0.026699999999999998,-0.0217,0.0001,-0.0083
2020-07-01,0.0583,-0.0235,-0.0144,0.0001,0.0771
2020-08-01,0.0762,-0.002,-0.0302,0.0001,0.0046
2020-09-01,-0.0364,0.0006,-0.027200000000000002,0.0001,0.0319
2020-10-01,-0.0208,0.0434,0.0425,0.0001,-0.031400000000000004
2020-11-01,0.1245,0.0581,0.0209,0.0001,-0.1255
2020-12-01,0.0463,0.0501,-0.0168,0.0001,-0.023700000000000002
2021-01-01,-0.0007000000000000001,0.07139999999999999,0.0322,0.0,0.0431
2021-02-01,0.0281,0.0202,0.07200000000000001,0.0,-0.079
2021-03-01,0.0316,-0.0233,0.0735,0.0,-0.061200000000000004
2021-04-01,0.0495,-0.0319,-0.0102,0.0,0.0123
2021-05-01,0.003,-0.002,0.0704,0.0,0.005600000000000001
2021-06-01,0.0274,0.017,-0.0786,0.0,0.0207
2021-07-01,0.0134,-0.0393,-0.0179,0.0,-0.0218
2021-08-01,0.0294,-0.0032,-0.0023,0.0,0.0263
2021-09-01,-0.044000000000000004,0.0066,0.0512,0.0,0.0139
2021-10-01,0.0663,-0.0226,-0.0053,0.0,0.0332
2021-11-01,-0.0158,-0.0131,-0.0037,0.0,0.0096
2021-12-01,0.0323,-0.0163,0.0325,0.0001,-0.0239
2022-01-01,-0.0616,-0.0593,0.1286,0.0,-0.0242
2022-02-01,-0.022799999999999997,0.0216,0.030600000000000002,0.0,0.0166
2022-03-01,0.0308,-0.0155,-0.019,0.0,0.0294
2022-04-01,-0.0941,-0.013500000000000002,0.061799999999999994,0.0,0.05
2022-05-01,-0.0034000000000000002,-0.0184,0.08439999999999999,0.0003,0.0254
2022-06-01,-0.084,0.0207,-0.06,0.0006,0.0109
2022-07-01,0.09570000000000001,0.028399999999999998,-0.0415,0.0008,-0.0436
2022-08-01,-0.0377,0.0141,0.0018,0.0019,0.018500000000000003
2022-09-01,-0.0934,-0.0076,0.0003,0.0019,0.036699999999999997
2022-10-01,0.0785,0.0001,0.0797,0.0023,0.039
2022-11-01,0.04650000000000001,-0.035699999999999996,0.0148,0.0029,-0.017
2022-12-01,-0.0638,-0.0076,0.0134,0.0033,0.049100000000000005
2023-01-01,0.0661,0.0501,-0.0394,0.0034999999999999996,-0.1617
2023-02-01,-0.025699999999999997,0.0105,-0.008,0.0034000000000000002,0.0055000000000000005
2023-03-01,0.0248,-0.0548,-0.09050000000000001,0.0036,-0.0235
2023-04-01,0.0062,-0.0337,-0.0012,0.0034999999999999996,0.0176
2023-05-01,0.0034000000000000002,0.016,-0.0779,0.0036,-0.0088
2023-06-01,0.0646,0.0149,-0.0013,0.004,-0.0269
2023-07-01,0.0321,0.020499999999999997,0.0406,0.0045000000000000005,-0.0406
2023-08-01,-0.0236,-0.031400000000000004,-0.0115,0.0045000000000000005,0.0378
2023-09-01,-0.052300000000000006,-0.025099999999999997,0.0149,0.0043,0.0033
2023-10-01,-0.0315,-0.038599999999999995,0.002,0.004699999999999999,0.0167
2023-11-01,0.0888,-0.001,0.0167,0.0044,0.0256
2023-12-01,0.048499999999999995,0.063,0.0489,0.0043,-0.0553
2024-01-01,0.0073,-0.0507,-0.023799999999999998,0.004699999999999999,0.0542
2024-02-01,0.0507,-0.0024,-0.034300000000000004,0.0042,0.049
2024-03-01,0.028399999999999998,-0.025,0.0416,0.0043,-0.0032
2024-04-01,-0.04650000000000001,-0.023700000000000002,-0.0045000000000000005,0.004699999999999999,-0.0043
2024-05-01,0.0433,0.0055000000000000005,-0.0131,0.0044,-0.0016
2024-06-01,0.027999999999999997,-0.03,-0.0336,0.0040999999999999995,0.0085
2024-07-01,0.012199999999999999,0.0681,0.0562,0.0045000000000000005,-0.0235
2024-08-01,0.016,-0.0349,-0.011000000000000001,0.0048,0.0481
2024-09-01,0.0172,-0.0013,-0.0276,0.004,-0.0062
2024-10-01,-0.01,-0.009899999999999999,0.0086,0.0039000000000000003,0.03
2024-11-01,0.0649,0.0446,0.0016,0.004,0.01
2024-12-01,-0.0317,-0.0271,-0.03,0.0037,-0.003
